dpa_canton,provincia,canton,valor
0902,Guayas,ALFREDO BAQUERIZO MORENO,61.4
0903,Guayas,BALAO,65.2
0926,Guayas,BALZAR,65.0
0905,Guayas,COLIMES,68.7
0906,Guayas,DAULE,49.3
0907,Guayas,DURAN,72.4
0908,Guayas,EMPALME,69.1
0909,Guayas,EL TRIUNFO,58.4
0910,Guayas,MILAGRO,54.2
0911,Guayas,NARANJAL,67.5
0912,Guayas,NARANJITO,71.8
0913,Guayas,PALESTINA,66.4
0914,Guayas,PEDRO CARBO,73.2
0915,Guayas,SAMBORONDON,65.0
0916,Guayas,SANTA LUCIA,59.7
0917,Guayas,SALITRE,65.0
0918,Guayas,SAN JACINTO DE YAGUACHI,64.9
0919,Guayas,PLAYAS,56.3
0920,Guayas,SIMON Bolívar,48.5
0921,Guayas,CRNEL. MARCELINO MARIDUEÑA,74.6
0922,Guayas,LOMAS DE SARGENTILLO,68.2
0923,Guayas,NOBOL,62.7
0927,Guayas,GNRAL. ANTONIO ELIZALDE,44.6
0925,Guayas,ISIDRO AYORA,70.1
1001,Imbabura,IBARRA,38.6
1002,Imbabura,ANTONIO ANTE,51.4
1003,Imbabura,COTACACHI,56.2
1004,Imbabura,OTAVALO,68.7
1005,Imbabura,PIMAMPIRO,62.9
1006,Imbabura,SAN MIGUEL DE URCUQUI,73.1
1101,Loja,Loja,34.2
1102,Loja,CALVAS,63.5
1103,Loja,CATAMAYO,58.9
1104,Loja,CELICA,67.4
1105,Loja,CHAGUARPAMBA,69.8
1106,Loja,ESPINDOLA,71.2
1107,Loja,GONZANAMA,66.4
1108,Loja,MACARA,68.7
1109,Loja,PALTAS,62.1
1111,Loja,PUYANGO,73.8
1112,Loja,SARAGURO,65.9
1113,Loja,SOZORANGA,77.4
1114,Loja,ZAPOTILLO,76.1
1110,Loja,PINDAL,74.3
1116,Loja,QUILANGA,72.5
1115,Loja,OLMEDO,69.3
1201,Los Ríos,BABAHOYO,52.3
1202,Los Ríos,BABA,79.2
1203,Los Ríos,MONTALVO,69.4
1204,Los Ríos,PUEBLOVIEJO,84.1
1205,Los Ríos,QUEVEDO,47.8
1206,Los Ríos,URDANETA,64.2
1207,Los Ríos,VENTANAS,61.4
1208,Los Ríos,VINCES,68.9
1209,Los Ríos,PALENQUE,71.6
1210,Los Ríos,BUENA FE,63.1
1211,Los Ríos,VALENCIA,72.1
1212,Los Ríos,MOCACHE,74.5
1213,Los Ríos,QUINSALOMA,76.8
1301,Manabí,PORTOVIEJO,49.2
1302,Manabí,Bolívar,64.7
1303,Manabí,CHONE,71.5
1304,Manabí,EL CARMEN,76.8
1305,Manabí,FLAVIO ALFARO,68.4
1306,Manabí,JIPIJAPA,73.2
1307,Manabí,JUNIN,62.9
1308,Manabí,MANTA,38.4
1309,Manabí,MONTECRISTI,57.1
1310,Manabí,PAJAN,66.3
1311,Manabí,Pichincha,69.8
1312,Manabí,ROCAFUERTE,72.4
1313,Manabí,SANTA ANA,65.8
1314,Manabí,SUCRE,78.6
1315,Manabí,TOSAGUA,74.1
1316,Manabí,24 DE MAYO,81.2
1317,Manabí,PEDERNALES,77.5
1318,Manabí,OLMEDO,79.9
1319,Manabí,PUERTO LOPEZ,75.3
1320,Manabí,JAMA,70.8
1321,Manabí,JARAMIJO,67.2
1322,Manabí,SAN VICENTE,73.6
1401,Morona Santiago,MORONA,58.3
1402,Morona Santiago,GUALAQUIZA,76.4
1403,Morona Santiago,LIMON INDANZA,81.2
1404,Morona Santiago,PALORA,84.7
1405,Morona Santiago,SANTIAGO,86.9
1406,Morona Santiago,SUCUA,79.5
1407,Morona Santiago,HUAMBOYA,83.1
1408,Morona Santiago,SAN JUAN BOSCO,88.4
1409,Morona Santiago,TAISHA,87.2
1410,Morona Santiago,Logroño,85.6
1411,Morona Santiago,PABLO SEXTO,89.1
1412,Morona Santiago,TIWINTZA,84.3
1501,Napo,TENA,59.4
1502,Napo,ARCHIDONA,65.0
1503,Napo,EL CHACO,74.8
1504,Napo,QUIJOS,82.6
1505,Napo,CARLOS JULIO AROSEMENA TOLA,65.0
1601,Pastaza,Pastaza,54.2
1602,Pastaza,MERA,78.6
1603,Pastaza,SANTA CLARA,87.4
1604,Pastaza,ARAJUNO,89.8
1701,Pichincha,Quito,23.4
1702,Pichincha,CAYAMBE,46.8
1703,Pichincha,MEJIA,44.1
1704,Pichincha,PEDRO MONCAYO,59.7
1705,Pichincha,Rumiñahui,38.2
1706,Pichincha,SAN MIGUEL DE LOS BANCOS,65.0
1707,Pichincha,PEDRO VICENTE MALDONADO,56.4
1709,Pichincha,PUERTO Quito,63.2
1801,Tungurahua,AMBATO,35.8
1802,Tungurahua,BAÑOS DE AGUA SANTA,49.3
1803,Tungurahua,CEVALLOS,58.7
1804,Tungurahua,MOCHA,61.2
1805,Tungurahua,PATATE,54.6
1806,Tungurahua,QUERO,67.4
1807,Tungurahua,SAN PEDRO DE PELILEO,52.8
1808,Tungurahua,SANTIAGO DE PILLARO,64.9
1809,Tungurahua,TISALEO,57.3
1901,Zamora Chinchipe,Zamora,51.6
1902,Zamora Chinchipe,CHINCHIPE,67.8
1903,Zamora Chinchipe,NANGARITZA,72.4
1904,Zamora Chinchipe,YACUAMBI,74.9
1905,Zamora Chinchipe,YANTZAZA,69.3
1906,Zamora Chinchipe,EL PANGUI,76.1
1907,Zamora Chinchipe,CENTINELA DEL CONDOR,71.8
1908,Zamora Chinchipe,PALANDA,78.4
1909,Zamora Chinchipe,PAQUISHA,73.2
2001,Galápagos,SAN CRISTOBAL,26.4
2002,Galápagos,ISABELA,29.8
2003,Galápagos,SANTA CRUZ,34.1
2101,Sucumbíos,LAGO AGRIO,56.8
2102,Sucumbíos,GONZALO PIZARRO,78.4
2103,Sucumbíos,PUTUMAYO,74.9
2104,Sucumbíos,SHUSHUFINDI,83.2
2105,Sucumbíos,Sucumbíos,79.6
2106,Sucumbíos,CASCALES,81.7
2107,Sucumbíos,CUYABENO,86.4
2201,Orellana,Orellana,63.2
2202,Orellana,AGUARICO,82.5
2203,Orellana,LA JOYA DE LOS SACHAS,87.9
2204,Orellana,LORETO,78.6
2301,Santo Domingo DE LOS TSACHILAS,Santo Domingo,48.9
2401,Santa Elena,Santa Elena,53.4
2402,Santa Elena,LA LIBERTAD,44.8
2403,Santa Elena,SALINAS,64.1
